Lektion 1: Begrüßen und Vorstellen,,,,Lektion 2: Arbeit und Hobbies,,,,Lektion 3: Kommunikationshelfer,,,,Lektion 4: Sätze im Alltag,,,,Lektion 5: Lektion: Bestellen und bezahlen,,,,Lektion 6: Lektion: Reisen und Verkehr,,,,Lektion 7: Kommunikationshelfer 2: Diskursmarker,,,,Lektion 8: Lektion: Hilfe & Notfälle,,,,,Lektion 9: Persönliche Angaben,,,,Lektion 10: Wiederholung,,,,,Lektion 11: Lektion: Smalltalk: Aufenthalt & Pläne,,,,Lektion 12: Lektion: Smalltalk 2: Meinungen & Erfahrungen,,,,Lektion 13: Lektion: Freizeitaktivitäten,,,,Lektion 14: Lektion: Vorlieben und Meinungen,,,,Lektion 15: Lektion: Füllsätze und Floskeln,,,,Lektion 16: Lektion: Verabredungen und Wetter,,,,Lektion 17: Lektion: Termine und Zeitangaben,,,,Lektion 18: Lektion: Telekommunikation,,,,Lektion 19: Lektion: Befinden und Gesundheit,,,,Lektion 20: Lektion: Wohnen und Haushalt,,,,,,Anhang - Referenzlisten,,,,,
Grußformeln und Befinden – informell,,,,Begrüßungen,,,,Sprachkenntnisse,,,,Gesprächspartikel: Entscheidungsfrage,,,,Im Restaurant: Begrüßung und Reservierung,,,,Verkehrsmittel,,,,Diskursmarker,,,,Warnhinweise,,,,,Persönliche Daten,,,,[keine Tabellen vorhanden],,,,,Aufenthaltsdauer angeben und erfragen,,,,Meinung und Eindrücke äußern,,,,Hobbys nennen,,,,Vorlieben ausdrücken,,,,Aktionen einleiten,,,,Aktivitäten vorschlagen,,,,Termine vereinbaren,,,,Telefonieren: Begrüßung,,,,Allgemeines Befinden erfragen und ausdrücken,,,,Wohnsituation beschreiben,,,,,,Buchstabe,Buchstabier-,Lautbeispiel,Buchstabe,Buchstabier-,Lautbeispiel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tafel,,,tafel,
Hallo.,Hello.,Hello.,,"Grüß dich. [südd., österr.]",Greet you.,"Hi there. [South German, Austrian]",,Ich spreche kein Deutsch.,I speak no German.,I don't speak German.,,Ja.,Yes.,Yes.,,(Einen Tisch) für eine Person bitte.,(A table) for one person please.,"(A table) for one person, please.",,Ich nehme …,I take …,I’m taking …,,"Also, …","So, …","So, …",,Achtung!,Attention!,Attention!,,,Was ist deine/Ihre Adresse?,What is your/Your address?,What is your address?,,,,,,,Wie lange bist du schon hier?,How long are you already here?,How long have you been here?,,Wie gefällt es dir hier?,How appeals it you here?,How do you like it here?,,Ich gehe (nicht) gern(e) …,I go (not) gladly …,I (don’t) like to go …,,Siehst du/sehen Sie gern(e) Filme/Serien?,See you/see You gladly films/series?,Do you like watching movies/series?,,Gehen wir.,Go we.,Let's go.,,"Hast du Lust, …","Have you lust, …",Do you feel like …,,Ich hätte gern(e) einen Termin.,I [would have] gladly an appointment.,I’d like to make an appointment.,,"Guten Tag, Mustermann spricht.","Good day, Mustermann speaks.","Hello, Mr. Mustermann is speaking.",,Wie fühlst du dich?,How feel you yourself?,How do you feel?,,Ich wohne in einer Wohnung/in einem Haus.,I reside in a flat/in a house.,I live in a flat/in a house.,,,,"a, A",Anton,Apfel,"p, P",Paula,Pizza
Wie geht's?,How goes’it?,How are you?,,Grüezi. [schweiz.],Hello.,Hi there. [Swiss],,Ich spreche nicht Deutsch.,I speak not German.,I don't speak German.,,Nein.,No.,No.,,(Einen Tisch) für zwei/drei/vier (Personen) bitte.,(A table) for two/three/four (persons) please.,(A table) for two/three/four (people) please.,,… den Bus.,… the bus.,… the bus.,,"So, …","So, …","So, …/Well then, ...",,Vorsicht!,Caution!,Caution!,,,Was ist deine/Ihre Hausnummer?,What is your/Your house-number?,What is your house number?,,,,,,,Wie lange sind Sie schon hier?,How long are You already here?,How long have you been here?,,Wie gefällt es Ihnen hier?,How appeals it You here?,How do you like it here?,,… schwimmen.,… swim.,… swimming.,,Magst du/mögen Sie Filme/Serien?,Like you/like You films/series?,Do you like movies/series?,,Lass uns gehen.,Let us go.,Let's go.,,… einen Kaffee zu trinken?,… a coffee to drink?,… having a coffee?,,Ich brauche einen Termin.,I need an appointment.,I need an appointment.,,„Nachname“ (spricht).,"""After-name"" (speaking).","""Last name"" (speaking).",,Wie fühlen Sie sich?,How feel You yourself?,How do you feel?,,Die Wohnung/das Haus ist groß/klein/gemütlich.,The flat/the house is big/small/cozy.,The flat/house is big/small/cozy.,,,,"b, B",Berta,Banane,"q, Q",Quelle,Quiz
Mir geht's gut/nicht gut.,Me goes’it good/not good.,I'm doing well/not well.,,Servus. [österr.],Hey. / Bye.,Hey. / Bye. [Austrian],,Ich spreche nur Englisch.,I speak only English.,I only speak English.,,Vielleicht.,Maybe.,Maybe.,,Tab. 5.1: nach einem Tisch fragen,,,,… den Zug.,… the train.,… the train.,,"Na ja, …","Well, …","Well, …",,Warnung!,Warning!,Warning!,,,Was ist deine/Ihre Telefonnummer?,What is your/Your telephone-number?,What is your phone number?,,,,,,,Seit wann bist du hier?,Since when are you here?,Since when have you been here?,,Es gefällt mir gut hier.,It appeals me good here.,I like it here.,,… wandern.,… hike.,… hiking.,,Ich sehe gern(e) Filme/Serien.,I see gladly films/series.,I like watching movies/series.,,Los geht’s.,[Off] goes'it.,Here we go.,,… etwas essen/trinken zu gehen?,… something eat/drink to go?,… going out for food/a drink?,,Wann haben Sie Zeit?,When have You time?,When are you available?,,Tab. 18.1: Telefonieren: Begrüßung,,,,Ich fühle mich (nicht) gut.,I feel myself (not) good.,I (don’t) feel well.,,Ich wohne allein/mit meiner Familie/in einer WG.,I reside alone/with my family/in a [shared flat].,I live alone/with my family/in a shared flat.,,,,"c, C",Cäsar,Computer,"r, R",Richard,Radio
Und dir?,And you?,And you?,,Moin. [nordd.],Hello.,Hey. / Bye. [North German],,Sprichst du Englisch?,Speak you English?,Do you speak English?,,"Tab. 4.1: ja, nein, vielleicht",,,,,,,,… das Fahrrad.,… the drive-wheel.,… the bike.,,"Tja, …","Well, …","Well, …/Tough luck, …",,Tab. 8.1: Warnhinweise,,,,,Was ist deine/Ihre E-Mail-Adresse?,What is your/Your email-address?,What is your email address?,,,,,,,Seit wann sind Sie hier?,Since when are You here?,Since when have you been here?,,Es gefällt mir nicht so gut hier.,It appeals me not so good here.,I don’t like it here that much.,,… Fahrrad fahren.,… drive-wheel drive.,… cycling.,,Ich mag Filme/Serien.,I like films/series.,I like movies/series.,,Fangen wir an.,[Start] we [-].,Let's get started.,,… spazieren zu gehen?,… stroll to go?,… going for a walk?,,Wann passt es Ihnen?,When suits it You?,When does it suit you?,,,,,,Tab. 19.1: Allgemeines Befinden erfragen und ausdrücken,,,,Ich habe ein kleines/großes Zimmer.,I have a small/big room.,I have a small/large room.,,,,"d, D",Dora,Dose,"s, S",Samuel,Sonne
Mir geht's auch gut/nicht gut.,Me goes’it also good/not good.,I'm also doing well/not well.,,Tab. 2.1: Regionale Begrüßungen [ugs.],,,,Sprechen Sie Englisch?,Speak You English?,Do you speak English?,,,,,,Haben Sie reserviert?,Have You reserved?,Have you made a reservation?,,… das Auto.,… the car.,… the car.,,"Gut, …","Well, …","Well, …/Alright, …",,Warnrufe,,,,,Tab. 9.1: Wohnadresse und Kontaktdaten,,,,,,,,,Ich bin seit ein paar Tagen hier.,I am since a couple days here.,I have been here for a few days.,,Tab. 12.1: Meinung zum Aufenthalt,,,,… ins Kino.,… in(to)-the cinema.,… to the cinema.,,Ich sehe nicht oft Filme/Serien.,I see not often films/series.,I don’t watch movies/series often.,,Lass uns anfangen.,Let us [start].,Let's get started.,,… ins Kino zu gehen?,… in(to)-the cinema to go?,… going to the cinema?,,Können Sie auch später/früher?,Can You also later/earlier?,Can you come later/earlier?,,"Guten Tag, Firma Muster, Sie sprechen mit Frau Mustermann.","Good day, Company Muster, You speak with Woman Mustermann.","Hello, Company Muster, you are speaking to Ms. Mustermann.",,,,,,Ich habe eine Küche und ein Bad.,I have a kitchen and a bath(room).,I have a kitchen and a bathroom.,,,,"e, E",Emil,Essen,"t, T",Theodor,Tanz
Tschüss.,Bye.,Bye.,,,,,,Auf Englisch bitte.,On English please.,In English please.,,Natürlich (nicht).,Natural (not).,Of course (not).,,"Ja/nein, ich habe (k)eine Reservierung.","Yes/no, I have (no/a) reservation.","Yes/no, I do (not) have a reservation.",,… die Straßenbahn.,… the tram.,… the tram.,,"Okay, …","Okay, …","Okay, …",,,,,,,,,,,,,,,,Ich bin seit circa einer Woche hier.,I am since circa one week here.,I have been here for about a week.,,,,,,… in Cafés.,… in(to) cafés.,… to cafés.,,Ich sehe/mag Filme/Serien nicht so gern(e).,I see/like films/series not so gladly.,I don’t really like watching movies/series.,,Tab. 15.1: Aktionen einleiten,,,,Tab. 16.1: Aktivitäten vorschlagen – „Hast du Lust …?“,,,,Tab. 17.1: Termine vereinbaren,,,,"Frau Mustermann am Apparat, was kann ich für Sie tun?","Woman Mustermann on-the apparatus, what can I for You do?","Ms. Mustermann speaking, how can I help you?",,(Mir geht es) soso.,(Me goes it) soso.,I’m feeling so-so.,,Tab. 20.1: Wohnsituation beschreiben,,,,,,"f, F",Friedrich,Falle,"u, U",Ulrich,Uhr
Tschau./Ciao.,Ciao.,Ciao.,,Guten Morgen.,Good morning.,Good morning.,,Tab. 3.1: Sprachkenntnisse,,,,Sicher (nicht).,Sure (not).,Sure/certainly (not).,,Tab. 5.2: Tischreservierung,,,,… die U-Bahn.,… the metro.,… the metro.,,"Na gut, …","Na good, …","Well, alright, …",,Halt!,Hold!,Stop!,,,Wie lautet Ihre Adresse/Ihre Telefonnummer?,How [is] Your address/Your telephone-number.,What is your address/phone number?,,,,,,,Tab. 11.1: Aufenthaltsdauer,,,,Was gefällt dir hier?,What appeals you here?,What do you like here?,,Tab. 13.1: Hobbys nennen – „Ich gehe gerne …“,,,,Tab. 14.1: Vorlieben ausdrücken – Filme und Serien,,,,Antworten zwischen „Ja“ und „Nein“,,,,,,,,,,,,Tab. 18.2: Telefonieren: Begrüßungsformeln,,,,(Mir geht es) so lala.,(Me goes it) [soso].,I’m feeling so-so.,,,,,,,,"g, G",Gustav,Garten,"v, V",Viktor,Vogel
Tab. 1.1: Grußformeln und Befinden – informell,,,,Guten Abend.,Good evening.,Good evening.,,,,,,Absolut (nicht).,Absolute (not).,Absolutely (not).,,Im Restaurant: Bestellen,,,,… ein Taxi.,… a taxi.,… a taxi.,,Tab. 7.1: Diskursmarker,,,,Halten Sie!,Hold You!,Stop!,,,Meine Adresse/meine Telefonnummer ist/lautet …,My address/my telephone-number is/[is] …,My address/phone number is …,,,,,,,,,,,Was gefällt Ihnen hier?,What appeals You here?,What do you like here?,,,,,,,,,,,,,,Wollen wir …,Want we …,Shall we …,,Da habe ich (leider keine) Zeit.,There have I (unfortunately no) time.,I (unfortunately) don’t have time then.,,Telefonieren: Verabschiedung,,,,(Mir geht es) ganz gut.,(Me goes it) [quite] good.,I’m quite good.,,Ich wohne …,I reside …,I live …,,,,"h, H",Heinrich,Haus,"w, W",Wilhelm,Wasser
